storage_type,uid,basin,formation_id,state,lon,lat
SALINE,144,,Lower Tuscaloosa7,LA,-90.441911,30.770204
SALINE,145,,Lower Tuscaloosa8,MS,-89.913294,32.332237
SALINE,146,,Lower Tuscaloosa9,MS,-90.094294,31.364063
SALINE,147,,Lower Tuscaloosa10,MS,-89.078338,30.725223
SALINE,148,,Lyons1,CO,-104.746924,40.096968
SALINE,149,,Lyons2,CO,-103.708007,40.189039
SALINE,150,,Lyons3,CO,-104.932373,38.498043
SALINE,151,,Madison Gp-Mission Canyon Fm1,ND,-102.248011,47.523975
SALINE,152,,Madison Gp-Mission Canyon Fm2,ND,-103.437718,47.254191
SALINE,153,,Madison Gp-Mission Canyon Fm3,SD,-102.735499,45.334918
SALINE,154,,Madison Gp-Mission Canyon Fm4,MT,-105.802876,47.237959
SALINE,155,,Madison1,WY,-105.661428,43.852303
SALINE,156,,Madison2,WY,-108.427627,44.254067
SALINE,157,,Madison3,WY,-108.032945,43.062783
SALINE,158,,Madison5,WY,-109.005803,41.857385
SALINE,159,,Maha01,NE,-102.504843,41.364664
SALINE,160,,Medina01,OH,-81.487049,40.32532
SALINE,161,,Medina02,WV,-80.870266,38.580979
SALINE,162,,Medina03,MD,-79.200154,39.542546
SALINE,163,,Medina04,PA,-78.882952,41.072115
SALINE,164,,Medina05,NY,-77.670706,42.304072
SALINE,165,,Mesaverde1,CO,-107.789933,37.189233
SALINE,166,,Mesaverde2,NM,-107.651734,36.36326
SALINE,167,,Mesaverde3,UT,-109.942216,39.846619
SALINE,168,,Mesaverde4,WY,-109.004687,41.844944
SALINE,169,,Mesaverde5,WY,-107.791841,43.057494
SALINE,170,,Minnelusa1,WY,-105.723093,43.969281
SALINE,171,,Minnelusa2,MT,-106.228001,45.384305
SALINE,172,,Mokelumne River1,CA,-121.358152,38.071841
SALINE,173,,Mokelumne River2,CA,-121.912997,39.433326
SALINE,174,,Monterey1a,CA,-120.124026,36.688592
SALINE,175,,Monterey1b,CA,-120.123397,36.689265
SALINE,176,,Moreno1(Starkey),CA,-121.914997,39.435899
SALINE,177,,Moreno2,CA,-120.122862,36.687777
SALINE,178,,Morrison1,CO,-107.79039,37.195552
SALINE,179,,Morrison2,NM,-107.652666,36.368147
SALINE,180,,Morrison3,CO,-103.779655,39.885283
SALINE,181,,Morrison4,WY,-104.516272,41.672577
SALINE,182,,Morrison5,NE,-103.221649,41.666621
SALINE,183,,Morrison6,WY,-108.335374,41.721884
SALINE,184,,Morrison7,UT,-110.057661,39.947087
SALINE,185,,Morrison8,CO,-107.684203,40.148758
SALINE,186,,Morrow1,OK,-99.272488,36.469471
SALINE,187,,Mount Simon1,IL,-88.443941,38.321953
SALINE,188,,Mount Simon2,IL,-88.594741,39.041157
SALINE,189,,Mount Simon3,IL,-89.238991,39.919913
SALINE,190,,Mount Simon4,IN,-87.518881,38.174101
